Illumina_index_set,Illumina_source_well,Lib_plate_name,Lib_plate_ID,Lib_plate_well,Primer_volume_(uL)
PE19,A12,BP9735_FULL.1,hXUPVQ-6,A24,2
PE19,B12,BP9735_FULL.1,hXUPVQ-6,C24,2
PE19,C12,BP9735_FULL.1,hXUPVQ-6,E24,2
PE19,D12,BP9735_FULL.1,hXUPVQ-6,G24,2
PE19,E12,BP9735_FULL.1,hXUPVQ-6,I24,2
PE19,F12,BP9735_FULL.1,hXUPVQ-6,K24,2
PE19,G12,BP9735_FULL.1,hXUPVQ-6,M24,2
PE19,H12,BP9735_FULL.1,hXUPVQ-6,O24,2
PE20,A1,BP9735_FULL.1,hXUPVQ-6,B2,2
PE20,B1,BP9735_FULL.1,hXUPVQ-6,D2,2
PE20,C1,BP9735_FULL.1,hXUPVQ-6,F2,2
PE20,D1,BP9735_FULL.1,hXUPVQ-6,H2,2
PE20,E1,BP9735_FULL.1,hXUPVQ-6,J2,2
PE20,F1,BP9735_FULL.1,hXUPVQ-6,L2,2
PE20,G1,BP9735_FULL.1,hXUPVQ-6,N2,2
PE20,H1,BP9735_FULL.1,hXUPVQ-6,P2,2
PE20,A2,BP9735_FULL.1,hXUPVQ-6,B4,2
PE20,B2,BP9735_FULL.1,hXUPVQ-6,D4,2
PE20,C2,BP9735_FULL.1,hXUPVQ-6,F4,2
PE20,D2,BP9735_FULL.1,hXUPVQ-6,H4,2
PE20,E2,BP9735_FULL.1,hXUPVQ-6,J4,2
PE20,F2,BP9735_FULL.1,hXUPVQ-6,L4,2
PE20,G2,BP9735_FULL.1,hXUPVQ-6,N4,2
PE20,H2,BP9735_FULL.1,hXUPVQ-6,P4,2
PE20,A3,BP9735_FULL.1,hXUPVQ-6,B6,2
PE20,B3,BP9735_FULL.1,hXUPVQ-6,D6,2
PE20,C3,BP9735_FULL.1,hXUPVQ-6,F6,2
PE20,D3,BP9735_FULL.1,hXUPVQ-6,H6,2
PE20,E3,BP9735_FULL.1,hXUPVQ-6,J6,2
PE20,F3,BP9735_FULL.1,hXUPVQ-6,L6,2
PE20,G3,BP9735_FULL.1,hXUPVQ-6,N6,2
PE20,H3,BP9735_FULL.1,hXUPVQ-6,P6,2
PE20,A4,BP9735_FULL.1,hXUPVQ-6,B8,2
PE20,B4,BP9735_FULL.1,hXUPVQ-6,D8,2
PE20,C4,BP9735_FULL.1,hXUPVQ-6,F8,2
PE20,D4,BP9735_FULL.1,hXUPVQ-6,H8,2
PE20,E4,BP9735_FULL.1,hXUPVQ-6,J8,2
PE20,F4,BP9735_FULL.1,hXUPVQ-6,L8,2
PE20,G4,BP9735_FULL.1,hXUPVQ-6,N8,2
PE20,H4,BP9735_FULL.1,hXUPVQ-6,P8,2
PE20,A5,BP9735_FULL.1,hXUPVQ-6,B10,2
PE20,B5,BP9735_FULL.1,hXUPVQ-6,D10,2
PE20,C5,BP9735_FULL.1,hXUPVQ-6,F10,2
PE20,D5,BP9735_FULL.1,hXUPVQ-6,H10,2
PE20,E5,BP9735_FULL.1,hXUPVQ-6,J10,2
PE20,F5,BP9735_FULL.1,hXUPVQ-6,L10,2
PE20,G5,BP9735_FULL.1,hXUPVQ-6,N10,2
PE20,H5,BP9735_FULL.1,hXUPVQ-6,P10,2
PE20,A6,BP9735_FULL.1,hXUPVQ-6,B12,2
PE20,B6,BP9735_FULL.1,hXUPVQ-6,D12,2
PE20,C6,BP9735_FULL.1,hXUPVQ-6,F12,2
PE20,D6,BP9735_FULL.1,hXUPVQ-6,H12,2
PE20,E6,BP9735_FULL.1,hXUPVQ-6,J12,2
PE20,F6,BP9735_FULL.1,hXUPVQ-6,L12,2
PE20,G6,BP9735_FULL.1,hXUPVQ-6,N12,2
PE20,H6,BP9735_FULL.1,hXUPVQ-6,P12,2
PE20,A7,BP9735_FULL.1,hXUPVQ-6,B14,2
PE20,B7,BP9735_FULL.1,hXUPVQ-6,D14,2
PE20,C7,BP9735_FULL.1,hXUPVQ-6,F14,2
PE20,D7,BP9735_FULL.1,hXUPVQ-6,H14,2
PE20,E7,BP9735_FULL.1,hXUPVQ-6,J14,2
PE20,F7,BP9735_FULL.1,hXUPVQ-6,L14,2
PE20,G7,BP9735_FULL.1,hXUPVQ-6,N14,2
PE20,H7,BP9735_FULL.1,hXUPVQ-6,P14,2
PE20,A8,BP9735_FULL.1,hXUPVQ-6,B16,2
PE20,B8,BP9735_FULL.1,hXUPVQ-6,D16,2
PE20,C8,BP9735_FULL.1,hXUPVQ-6,F16,2
PE20,D8,BP9735_FULL.1,hXUPVQ-6,H16,2
PE20,E8,BP9735_FULL.1,hXUPVQ-6,J16,2
PE20,F8,BP9735_FULL.1,hXUPVQ-6,L16,2
PE20,G8,BP9735_FULL.1,hXUPVQ-6,N16,2
PE20,H8,BP9735_FULL.1,hXUPVQ-6,P16,2
PE20,A9,BP9735_FULL.1,hXUPVQ-6,B18,2
PE20,B9,BP9735_FULL.1,hXUPVQ-6,D18,2
PE20,C9,BP9735_FULL.1,hXUPVQ-6,F18,2
PE20,D9,BP9735_FULL.1,hXUPVQ-6,H18,2
PE20,E9,BP9735_FULL.1,hXUPVQ-6,J18,2
PE20,F9,BP9735_FULL.1,hXUPVQ-6,L18,2
PE20,G9,BP9735_FULL.1,hXUPVQ-6,N18,2
PE20,H9,BP9735_FULL.1,hXUPVQ-6,P18,2
PE20,A10,BP9735_FULL.1,hXUPVQ-6,B20,2
PE20,B10,BP9735_FULL.1,hXUPVQ-6,D20,2
PE20,C10,BP9735_FULL.1,hXUPVQ-6,F20,2
PE20,D10,BP9735_FULL.1,hXUPVQ-6,H20,2
PE20,E10,BP9735_FULL.1,hXUPVQ-6,J20,2
PE20,F10,BP9735_FULL.1,hXUPVQ-6,L20,2
PE20,G10,BP9735_FULL.1,hXUPVQ-6,N20,2
PE20,H10,BP9735_FULL.1,hXUPVQ-6,P20,2
PE20,A11,BP9735_FULL.1,hXUPVQ-6,B22,2
PE20,B11,BP9735_FULL.1,hXUPVQ-6,D22,2
PE20,C11,BP9735_FULL.1,hXUPVQ-6,F22,2
PE20,D11,BP9735_FULL.1,hXUPVQ-6,H22,2
PE20,E11,BP9735_FULL.1,hXUPVQ-6,J22,2
PE20,F11,BP9735_FULL.1,hXUPVQ-6,L22,2
PE20,G11,BP9735_FULL.1,hXUPVQ-6,N22,2
PE20,H11,BP9735_FULL.1,hXUPVQ-6,P22,2
PE20,A12,BP9735_FULL.1,hXUPVQ-6,B24,2
PE20,B12,BP9735_FULL.1,hXUPVQ-6,D24,2
PE20,C12,BP9735_FULL.1,hXUPVQ-6,F24,2
PE20,D12,BP9735_FULL.1,hXUPVQ-6,H24,2
PE20,E12,BP9735_FULL.1,hXUPVQ-6,J24,2
PE20,F12,BP9735_FULL.1,hXUPVQ-6,L24,2
PE20,G12,BP9735_FULL.1,hXUPVQ-6,N24,2
PE20,H12,BP9735_FULL.1,hXUPVQ-6,P24,2
