Plate_ID,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3,Index_Set,Index_Well,Index_Name,Plate_Barcode,FA_Well
BP9735_SitukAM.1,P15,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,B16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,D16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,F16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,H16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,J16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,L16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,N16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,P16,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A17,SitukAM,sample,1.0,Bright,,,PE18,A9,PE18_A09,XUPVQ-1,A9
BP9735_SitukAM.1,B17,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C17,SitukAM,sample,1.0,Bright,,,PE18,B9,PE18_B09,XUPVQ-1,B9
BP9735_SitukAM.1,D17,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E17,SitukAM,sample,1.0,Bright,,,PE18,C9,PE18_C09,XUPVQ-1,C9
BP9735_SitukAM.1,F17,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G17,SitukAM,sample,1.0,Bright,,,PE18,D9,PE18_D09,XUPVQ-1,D9
BP9735_SitukAM.1,H17,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,I17,SitukAM,sample,1.0,Bright,,,PE18,E9,PE18_E09,XUPVQ-1,E9
BP9735_SitukAM.1,J17,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,K17,SitukAM,sample,1.0,Bright,,,PE18,F9,PE18_F09,XUPVQ-1,F9
BP9735_SitukAM.1,L17,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,M17,SitukAM,sample,1.0,Bright,,,PE18,G9,PE18_G09,XUPVQ-1,G9
BP9735_SitukAM.1,N17,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,O17,SitukAM,sample,1.0,Bright,,,PE18,H9,PE18_H09,XUPVQ-1,H9
BP9735_SitukAM.1,P17,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,A18,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,B18,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,C18,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,D18,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,E18,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,F18,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,G18,,unused,,,,,,,,XUPVQ-1,
BP9735_SitukAM.1,H18,,unused,,,,,,,,XUPVQ-1,
