Plate_ID,Well,Sample,Type,number_of_cells/capsules,Group_1,Group_2,Group_3,Index_Set,Index_Well,Index_Name,Plate_Barcode,FA_Well,dilution_factor,ng/uL,nmole/L,Avg. Size,Passed_library,Failed_index_sets,Redo_whole_plate,selected_for_pooling
BP9735_SitukAM.1,I10,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,J10,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,K10,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,L10,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,M10,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,N10,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,O10,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,P10,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,A11,SitukAM,sample,1.0,Bright,,,PE18,A6,PE18_A06,XUPVQ-1,A6,20.0,2.77,7.372,618.0,1.0,[],0.0,1
BP9735_SitukAM.1,B11,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,C11,SitukAM,sample,1.0,Bright,,,PE18,B6,PE18_B06,XUPVQ-1,B6,20.0,2.332,6.234,616.0,1.0,[],0.0,1
BP9735_SitukAM.1,D11,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,E11,SitukAM,sample,1.0,Bright,,,PE18,C6,PE18_C06,XUPVQ-1,C6,20.0,6.476,17.338,615.0,1.0,[],0.0,1
BP9735_SitukAM.1,F11,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,G11,SitukAM,sample,1.0,Bright,,,PE18,D6,PE18_D06,XUPVQ-1,D6,20.0,17.522,47.468,607.0,1.0,[],0.0,1
BP9735_SitukAM.1,H11,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,I11,SitukAM,sample,1.0,Bright,,,PE18,E6,PE18_E06,XUPVQ-1,E6,20.0,8.078,21.996,604.0,1.0,[],0.0,1
BP9735_SitukAM.1,J11,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,K11,SitukAM,sample,1.0,Bright,,,PE18,F6,PE18_F06,XUPVQ-1,F6,20.0,14.826,40.22,607.0,1.0,[],0.0,1
BP9735_SitukAM.1,L11,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,M11,SitukAM,sample,1.0,Bright,,,PE18,G6,PE18_G06,XUPVQ-1,G6,20.0,5.04,13.648,608.0,1.0,[],0.0,1
BP9735_SitukAM.1,N11,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,O11,SitukAM,sample,1.0,Bright,,,PE18,H6,PE18_H06,XUPVQ-1,H6,20.0,7.97,21.668,605.0,1.0,[],0.0,1
BP9735_SitukAM.1,P11,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,A12,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,B12,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,C12,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,D12,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,E12,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,F12,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,G12,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,H12,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,I12,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,J12,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,K12,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,L12,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,M12,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,N12,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,O12,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,P12,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,A13,SitukAM,sample,1.0,Bright,,,PE18,A7,PE18_A07,XUPVQ-1,A7,20.0,4.154,11.242,608.0,1.0,[],0.0,1
BP9735_SitukAM.1,B13,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,C13,SitukAM,sample,1.0,Bright,,,PE18,B7,PE18_B07,XUPVQ-1,B7,20.0,3.966,10.69,610.0,1.0,[],0.0,1
BP9735_SitukAM.1,D13,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,E13,SitukAM,sample,1.0,Bright,,,PE18,C7,PE18_C07,XUPVQ-1,C7,20.0,3.48,9.39,610.0,1.0,[],0.0,1
BP9735_SitukAM.1,F13,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,G13,SitukAM,sample,1.0,Bright,,,PE18,D7,PE18_D07,XUPVQ-1,D7,20.0,5.028,13.75,602.0,1.0,[],0.0,1
BP9735_SitukAM.1,H13,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,I13,SitukAM,sample,1.0,Bright,,,PE18,E7,PE18_E07,XUPVQ-1,E7,20.0,1.254,3.294,627.0,1.0,[],0.0,1
BP9735_SitukAM.1,J13,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,K13,SitukAM,sample,1.0,Bright,,,PE18,F7,PE18_F07,XUPVQ-1,F7,20.0,2.716,7.184,622.0,1.0,[],0.0,1
BP9735_SitukAM.1,L13,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,M13,SitukAM,sample,1.0,Bright,,,PE18,G7,PE18_G07,XUPVQ-1,G7,20.0,2.216,6.002,608.0,1.0,[],0.0,1
BP9735_SitukAM.1,N13,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,O13,SitukAM,sample,1.0,Bright,,,PE18,H7,PE18_H07,XUPVQ-1,H7,20.0,0.748,1.968,626.0,0.0,[],0.0,0
BP9735_SitukAM.1,P13,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,A14,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,B14,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,C14,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,D14,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,E14,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,F14,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,G14,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,H14,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,I14,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,J14,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,K14,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,L14,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,M14,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,N14,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,O14,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,P14,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,A15,SitukAM,sample,1.0,Bright,,,PE18,A8,PE18_A08,XUPVQ-1,A8,20.0,0.384,0.97,652.0,0.0,[],0.0,0
BP9735_SitukAM.1,B15,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,C15,SitukAM,sample,1.0,Bright,,,PE18,B8,PE18_B08,XUPVQ-1,B8,20.0,0.528,1.388,625.0,0.0,[],0.0,0
BP9735_SitukAM.1,D15,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,E15,SitukAM,sample,1.0,Bright,,,PE18,C8,PE18_C08,XUPVQ-1,C8,20.0,1.13,3.058,608.0,1.0,[],0.0,1
BP9735_SitukAM.1,F15,,unused,,,,,,,,XUPVQ-1,,,,,,,,,0
BP9735_SitukAM.1,G15,SitukAM,sample,1.0,Bright,,,PE18,D8,PE18_D08,XUPVQ-1,D8,20.0,1.402,3.712,622.0,1.0,[],0.0,1
